,id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
83,6rEbjCmrqgkEzvvmLFbeOc,5.31e-05,0.366,0.909,0.585,0,0.153,-6.563,1,0.0447,113.532,3,0.525
84,3bq0WzywhpWLzywEugCqUf,0.691,0.386,0.355,0.392,2,0.0988,-9.069,0,0.03,121.008,4,0.253
85,3c5SDeaj3qNNYjhXeOdjsC,0.0707,0.578,0.831,0,4,0.558,-6.421,1,0.0495,122.409,4,0.827
86,1NR5pDE01AHDIew2ruIo8k,0.0019,0.224,0.881,0.000919,8,0.0636,-5.772,1,0.0428,125.181,4,0.347
87,3vinQkvKeS3HpxdtSv1WnL,0.468,0.4,0.54,0.157,11,0.285,-8.211,0,0.0365,118.932,4,0.316
88,2DoStegxHLBVlxRQeBRatV,0.0191,0.163,0.973,0.0494,9,0.122,-6.171,1,0.139,151.517,4,0.156
89,4nXfnCxchBAm1kRp8WG4EY,0.209,0.331,0.776,5.57e-06,4,0.355,-5.528,0,0.0473,126.068,3,0.518
90,7hZti24ZGFeZVH1vVvSzvi,0.0186,0.413,0.944,0.00236,0,0.356,-5.547,1,0.0477,137.731,4,0.57
91,0oMCkTk9fLh0kmJn09h2C2,0.0092,0.404,0.687,0.812,2,0.0783,-8.05,1,0.0315,98.035,4,0.181
92,1YOBdfkgzSZ8XIqihpCQFA,0.546,0.237,0.475,0.193,11,0.0965,-9.763,0,0.0314,168.319,4,0.334
93,06rkJy3JQLMzC6s8ahwsh1,0.00149,0.322,0.909,0.0266,5,0.108,-6.445,1,0.0361,175.389,4,0.867
94,7hFsm4W7wAka2Xh1LnL2v8,0.0126,0.501,0.85,0.000183,9,0.239,-5.788,0,0.0288,129.162,4,0.601
95,6bA6JzxaAMZPVp8GDsBg4N,0.0349,0.128,0.712,0.019,2,0.136,-7.163,0,0.0326,175.381,3,0.259
96,63j5FcZXQPWSYxJUlAFujo,0.42,0.568,0.309,0.94,0,0.13,-13.012,1,0.0276,112.441,4,0.293
97,5o1CeJnJPeP5izsJVZlY5H,0.0121,0.412,0.948,0.0155,0,0.65,-6.728,1,0.0575,119.336,4,0.357
